Gene,WT_L8_rep1,WT_L8_rep2,WT_L12_rep1,WT_L12_rep2,KO_L8_rep1,KO_L8_rep2,KO_L12_rep1,KO_L12_rep2
Fam175a,153,163,126,113,216,174,214,230
Mob3b,464,536,479,667,242,139,301,139
Mir145a,0,1,0,0,0,0,0,0
1810034E14Rik,27,28,26,35,9,11,3,4
Vapa,2013,2466,2265,2688,2105,2063,1976,1783
Grik2,12,6,7,1,14,10,35,7
Cacnb2,36,64,36,62,76,55,138,89
Crat,295,347,438,391,195,131,288,188
Akr1c14,1,0,2,1,3,1,1,0
Skap2,202,226,214,230,243,143,261,92
Atg4c,125,158,117,148,136,158,159,185
Tsks,1,1,1,3,1,3,3,3
Dand5,37,27,28,39,39,18,36,47
Mir467e,0,0,0,0,0,0,0,0
Tiam1,460,499,502,339,699,846,827,608
Desi1,503,569,462,489,759,638,656,430
Bcr,1854,1951,2226,2269,1092,821,1438,959
Dusp3,1097,1284,1473,1789,634,312,627,325
Itgax,0,2,0,5,0,0,2,5
Apod,1,1,2,0,3,4,8,2
Taar9,0,0,0,0,0,0,0,0
Gm16130,2,0,3,3,0,0,3,1
Rhog,340,422,411,475,330,229,340,197
Ncam1,312,441,566,808,403,611,974,1766
Clcf1,21,25,21,31,16,7,33,5
Sec11c,190,149,249,248,145,84,136,74
Ppfia2,3,0,3,1,5,4,22,17
Nipal1,15,34,41,62,25,43,17,38
Abca4,18,34,49,60,28,40,29,32
Fkbp14,155,185,406,406,133,42,232,214
Mlx,475,492,517,498,513,279,533,292
Kbtbd3,23,38,38,23,37,34,42,19
Lrrc74b,0,0,1,0,2,1,4,0
Klhdc9,37,63,45,52,54,77,98,55
Madd,212,277,278,243,313,214,468,166
Patl2,15,19,22,45,3,0,13,0
Fubp3,1480,1771,1365,1589,1664,1101,2007,1002
Wac,1008,1207,1133,1226,1325,1547,1598,1674
Grb14,54,83,59,87,46,96,108,65
Tagln2,3406,3493,4123,4744,2780,1653,1790,1040
Ipp,118,170,114,126,108,64,143,48
Mpl,4,20,10,32,0,2,3,3
Sarm1,9,12,13,14,59,18,144,32
5031414D18Rik,0,1,3,3,3,1,0,0
Itpr3,1291,1589,1637,1614,537,487,839,371
Rab24,672,769,698,678,571,388,561,329
Mir204,0,0,0,0,0,0,0,0
D630041G03Rik,5,12,6,13,6,7,15,9
Nenf,76,126,104,139,93,64,115,65
Cd34,30,131,58,146,51,39,152,203
Pcdhb13,5,5,0,1,0,0,7,1
Tubgcp3,776,781,848,729,864,898,1080,819
Teddm1a,0,1,0,0,0,0,0,0
Ddx39b,3180,4025,2754,2949,5915,5636,6411,4874
Olfr262,0,0,0,0,0,0,0,0
Brk1,942,1178,1027,1127,1574,677,1756,675
Olfr403,0,0,0,0,0,0,0,0
Bpifa3,0,0,0,0,0,0,0,0
Tacc1,340,488,376,504,630,478,663,524
Mbip,192,185,183,161,293,272,341,293
Clpsl2,0,0,0,0,0,0,0,0
Rgs9,19,13,13,15,31,18,95,57
Cdk3-ps,8,16,9,12,10,4,18,7
Zfp804b,2,2,0,3,1,2,2,0
Pggt1b,362,410,394,447,341,306,444,361
Clcn2,472,308,584,429,399,164,533,178
